Name,Rolls,Current Substation (from Rolls),record_id,Width Average (mm)
CFT97 - R49966: X - PO-3113,R49966: CFT97,Material Prep,recBqivOQtjkBxjay,1466.7
CFT97 - R31080: X - PO-3113,R31080: CFT97,Material Prep,recG8g1XypzCGYZYL,1510.0
CFT97 - R50213: X - PO-7026,R50213: CFT97,Scour: Wash,recdB37Drj3l8fTVA,1700.0
CFT97 - R48802: X - PO-7026,R48802: CFT97,Material Prep,recrMez2iwTnheKjs,1713.3
CFT97 - R50776: X - PO-7026,R50776: CFT97,Scour: Wash,recZP2uGLM4UuvnJJ,1700.0
CFT97 - R48779: X - PO-7026,R48779: CFT97,Material Prep,recUTizagIBb4RRJl,1710.0
CFT97 - R50874: X - PO-7026,R50874: CFT97,Scour: Wash,recwLfsV2cMkKSmBj,1693.3
CFT97 - R51012: X - PO-7026,R51012: CFT97,Scour: Wash,recK8J49zfTpBxmP5,1690.0
CFT97 - R51015: X - PO-7026,R51015: CFT97,Scour: Wash,recxTiD9NdNOpjzmv,1706.7
CFT97 - R51022: X - PO-7026,R51022: CFT97,Scour: Wash,recIO6v9LdqQoVW2M,1696.7
CFT97 - R51023: X - PO-7026,R51023: CFT97,Scour: Wash,recxsVAmophHP66Mx,1720.0
CFT97 - R51027: X - PO-7026,R51027: CFT97,Material Prep,recQIGmJ19Pf28LpB,1696.7
CFT97 - R51024: X - PO-7026,R51024: CFT97,Scour: Wash,recF7wr10qWtAaRoR,1700.0
CFT97 - R51030: X - PO-7026,R51030: CFT97,Scour: Wash,recaGbJq9cH6pRQLY,1693.3
CFT97 - R50886: X - PO-7026,R50886: CFT97,Scour: Wash,recrz0RBQFGuDInre,1700.0
CFT97 - R51034: X - PO-7026,R51034: CFT97,Scour: Wash,rec3gkVlStIoYorkx,1700.0
CFT97 - R51035: X - PO-7026,R51035: CFT97,Scour: Wash,rec02ns44iQcUSsIu,1720.0
CFT97 - R51036: X - PO-7026,R51036: CFT97,Scour: Wash,recVNs81o11TvwhM9,1700.0
CFT97 - R51038: X - PO-7026,R51038: CFT97,Scour: Wash,recmo3BvWjUWlHlDN,1693.3
CFT97 - R51040: X - PO-7026,R51040: CFT97,Scour: Wash,recjqlpuz2qZSvaN4,1700.0
CFT97 - R51045: X - PO-7026,R51045: CFT97,Scour: Wash,recR77SDihPw8vKlb,1700.0
CFT97 - R51051: X - PO-7026,R51051: CFT97,Scour: Wash,recjwyCwU0oINReau,1710.0
CFT97 - R51052: X - PO-7026,R51052: CFT97,Material Prep,recviW6mE3Qh0q1RU,1700.0
CFT97 - R51053: X - PO-7026,R51053: CFT97,Material Prep,rechgmONlrv5WFbNt,1700.0
CFT97 - R51056: X - PO-7026,R51056: CFT97,Scour: Wash,recym6tZciN5YBfZk,1700.0
CFT97 - R51057: X - PO-7026,R51057: CFT97,Scour: Wash,recldlWcf5fxzEsfP,1700.0
CFT97 - R51060: X - PO-7026,R51060: CFT97,Scour: Wash,recC6Sip5yP36491M,1700.0
CFT97 - R51062: X - PO-7026,R51062: CFT97,Scour: Wash,recs8RMrkPwWJxMU6,1700.0
CFT97 - R51065: X - PO-7026,R51065: CFT97,Scour: Wash,recXkWIHkTApOeERY,1720.0
CFT97 - R51066: X - PO-7026,R51066: CFT97,Scour: Wash,recfmk8RClVVF9NvD,1700.0
CFT97 - R51067: X - PO-7026,R51067: CFT97,Material Prep,recEYvICBlwze1JLQ,1696.7
CFT97 - R48779: X - PO-7026,R48779: CFT97,Material Prep,recX8IPzElEx2YJcI,1530.0
CFT97 - R51027: X - PO-7026,R51027: CFT97,Material Prep,rec7To5HJ7wKYCm8o,1513.3
CFT97 - R51052: X - PO-7026,R51052: CFT97,Material Prep,recP8WYahROhEhe8j,1493.3
CFT97 - R51053: X - PO-7026,R51053: CFT97,Material Prep,recoZ0W6gi07boGFN,1560.0
CFT97 - R48802: X - PO-7026,R48802: CFT97,Material Prep,recYPD7lKfuFqMoPx,1486.7
CFT97 - R51398: X - PO-7026,R51398: CFT97,Material Prep,recjmVzA7P8DoH1Y7,1496.7
CFT97 - R51584: X - PO-7026,R51584: CFT97,Material Prep,recueSc1WxNHoUs4n,1560.0
CFT97 - R51713: X - PO-7026,R51713: CFT97,Material Prep,recShngxNlHqN2ivX,1526.7
CFT97 - R45816: X - PO-4837,R45816: CFT97,Material Prep,recu7rC1LTDn87Jhc,1550.0
CFT97 - R45767: X - PO-3113,R45767: CFT97,Material Prep,recTDLMj7Nmfj2G5h,1530.0
